ID	acnu_18S	acnu_28S	taxo
Oki46	JN811181	JN811271	Acantharea_E1_Lychnaspis_giltschii
Oki36	JN811177	JN811267	Acantharea_E1_Lychnaspis_giltschii
Oki55	JN811186	JN811277	Acantharea_E1_Lychnaspis_giltschii
Vil122	NA	JN811330	Acantharea_F1_Lithoptera_fenestra
Vil160	NA	JN811335	Acantharea_F1_Lithoptera_fenestra
Ei10	NA	JN811229	Acantharea_F3_Acanthostaurus_purpurescens
Ei75	JN811164	JN811249	Acantharea_F3_Phyllostaurus_siculus
Ei23	JN811150	JN811232	Acantharea_F3_Lonchostaurus_rhombicus
Oki65	JN811188	JN811281	Acantharea_F3_Acanthostaurus_conacanthus
Oki71	JN811192	JN811285	Acantharea_F3_Amphistaurus_complanatus
Oki24	JN811172	JN811262	Acantharea_F3_Acanthostaurus_conacanthus
Ei9	NA	JN811228	Acantharea_F3_Lonchostaurus_rhombicus
Ei49	JN811158	JN811241	Acantharea_F3_Lonchostaurus_rhombicus
Oki10	NA	JN811256	Acantharea_F3_Acanthostaurus_conacanthus
Oki27	JN811173	JN811263	Acantharea_F3_Phyllostaurus_siculus_catervatus 
Ei39	JN811153	JN811236	Acantharea_F3_Phyllostaurus_siculus_catervatus 
Vil100	JN811218	JN811326	Acantharea_F3_Acanthostaurus_purpurescens
Vil127	JN811224	JN811332	Acantharea_F3_Acanthostaurus_purpurescens
Oki78	JN811196	JN811290	Acantharea_F3_Acanthometra_pellucida
Oki67	JN811190	JN811283	Acantharea_F3_Acanthometra_pellucida
N2	JN811165	JN811253	Acantharea_F3_Acanthometra_fusca
N1	NA	JN811252	Acantharea_F3_Acanthometra_fusca
Ros93	NA	JN811301	Acantharea_F3_Acanthometra_fusca
Ros94	NA	JN811302	Acantharea_F3_Acanthometra_fusca
Vil70	NA	JN811320	Acantharea_F2_Amphibelone_hydrotomica
Oki68	JN811191	JN811284	Acantharea_F2_Amphibelone_heteracanthum
Oki21	JN811170	JN811260	Acantharea_F2_Amphibelone_heteracanthum
Ei24	JN811151	JN811233	Acantharea_F3_Amphilonche_elongata
Ei27	JN811152	JN811235	Acantharea_F3_Amphilonche_elongata
Oki56	NA	JN811278	Acantharea_F3_Amphilonche_elongata_heteracantha 
Ei54	NA	JN811244	Acantharea_F3_Amphilonche_elongata
Oki59	JN811187	JN811280	Acantharea_F3_Phyllostaurus_cuspidatus
Oki57	NA	JN811279	Acantharea_F3_Phyllostaurus_cuspidatus
Oki43	JN811179	JN811269	Acantharea_F3_Phyllostaurus_cuspidatus
Vil96	JN811217	JN811325	Acantharea_F3_Xiphacantha_alata
Vil82	JN811213	JN811321	Acantharea_F3_Xiphacantha_alata
Oki85	JN811198	JN811292	Acantharea_F3_Stauracantha_alata
Oki8	JN811167	JN811255	Acantharea_F3_Stauracantha_orthostaura
Oki93	JN811200	JN811295	Acantharea_F3_Stauracantha_orthostaura
Oki98	NA	JN811296	Acantharea_F3_Xiphacantha_quadridentata
Vil95	JN811216	JN811324	Acantharea_F3_Xiphacantha_quadridentata
Ei43	JN811155	JN811238	Acantharea_F3_Xiphacantha_quadridentata
Ei6	NA	JN811227	Acantharea_F3_Stauracantha_orthostaura
Ei78	NA	JN811251	Acantharea_F3_Stauracantha_orthostaura
Ei77	NA	JN811250	Acantharea_F3_Stauracantha_orthostaura
